date,total_value,CASH,MSFT_2027-06-17_330_CALL,NVDA_2027-06-17_145_CALL,TSLA
2026-09-04,117348.00,(44046.00|1.00),(18960.00|189.60),(18934.00|94.67),(35408.00|354.08)
2026-09-03,119752.50,(44046.00|1.00),(19550.00|195.50),(18520.00|92.60),(37636.50|376.37)
2026-09-02,117242.00,(44046.00|1.00),(20005.00|200.05),(17490.00|87.45),(35701.00|357.01)
2026-09-01,115764.00,(44046.00|1.00),(20005.00|200.05),(16104.00|80.52),(35609.00|356.09)
2026-08-31,117446.00,(44046.00|1.00),(20005.00|200.05),(16600.00|83.00),(36795.00|367.95)
2026-08-28,115234.00,(44046.00|1.00),(20005.00|200.05),(16308.00|81.54),(34875.00|348.75)
2026-08-27,116638.00,(44046.00|1.00),(18681.00|186.81),(18430.00|92.15),(35481.00|354.81)
2026-08-26,111558.00,(44046.00|1.00),(17800.00|178.00),(15130.00|75.65),(34582.00|345.82)
2026-08-25,111889.00,(44046.00|1.00),(17544.00|175.44),(15274.00|76.37),(35025.00|350.25)
2026-08-24,110876.00,(44046.00|1.00),(16795.00|167.95),(15140.00|75.70),(34895.00|348.95)
2026-08-21,113231.00,(44046.00|1.00),(16795.00|167.95),(16104.00|80.52),(36286.00|362.86)
2026-08-20,111754.00,(44046.00|1.00),(16795.00|167.95),(16400.00|82.00),(34513.00|345.13)
2026-08-19,112753.00,(44046.00|1.00),(16795.00|167.95),(16800.00|84.00),(35112.00|351.12)
2026-08-18,111316.00,(44046.00|1.00),(16795.00|167.95),(16788.00|83.94),(33687.00|336.87)
2026-08-17,113376.00,(44046.00|1.00),(17200.00|172.00),(18200.00|91.00),(33930.00|339.30)
2026-08-14,114107.00,(44046.00|1.00),(18014.00|180.14),(17820.00|89.10),(34227.00|342.27)
2026-08-13,113876.00,(44046.00|1.00),(18014.00|180.14),(17820.00|89.10),(33996.00|339.96)
2026-08-12,112500.00,(44046.00|1.00),(17883.00|178.83),(17820.00|89.10),(32751.00|327.51)
2026-08-11,112984.00,(44046.00|1.00),(18657.00|186.57),(17000.00|85.00),(33281.00|332.81)
2026-08-10,113214.00,(44046.00|1.00),(19080.00|190.80),(17000.00|85.00),(33088.00|330.88)
2026-08-07,113239.00,(44046.00|1.00),(18725.00|187.25),(17610.00|88.05),(32858.00|328.58)
2026-08-06,111049.00,(44046.00|1.00),(18228.00|182.28),(16822.00|84.11),(31953.00|319.53)
2026-08-05,111341.00,(44046.00|1.00),(17600.00|176.00),(17540.00|87.70),(32155.00|321.55)
2026-08-04,111049.00,(44046.00|1.00),(18400.00|184.00),(15868.00|79.34),(32735.00|327.35)
2026-08-03,108364.00,(44046.00|1.00),(17610.00|176.10),(14500.00|72.50),(32208.00|322.08)
2026-07-31,102718.00,(44046.00|1.00),(15055.00|150.55),(12496.00|62.48),(31121.00|311.21)
2026-07-30,101982.00,(44046.00|1.00),(14555.00|145.55),(12496.00|62.48),(30885.00|308.85)
2026-07-29,95406.00,(44046.00|1.00),(9520.00|95.20),(12008.00|60.04),(29832.00|298.32)
2026-07-28,97185.00,(44046.00|1.00),(9355.00|93.55),(13040.00|65.20),(30744.00|307.44)
2026-07-27,97761.00,(44046.00|1.00),(9303.00|93.03),(13490.00|67.45),(30922.00|309.22)
2026-07-24,99117.00,(44046.00|1.00),(8768.00|87.68),(15000.00|75.00),(31303.00|313.03)
2026-07-23,99740.00,(44046.00|1.00),(8575.00|85.75),(15150.00|75.75),(31969.00|319.69)
2026-07-22,104967.00,(44046.00|1.00),(9250.00|92.50),(14270.00|71.35),(37401.00|374.01)
2026-07-21,106209.00,(44046.00|1.00),(10000.00|100.00),(14270.00|71.35),(37893.00|378.93)
2026-07-20,105493.00,(44046.00|1.00),(10220.00|102.20),(14270.00|71.35),(36957.00|369.57)
2026-07-17,106021.00,(44046.00|1.00),(9391.00|93.91),(14500.00|72.50),(38084.00|380.84)
2026-07-16,108337.00,(44046.00|1.00),(10235.00|102.35),(14950.00|74.75),(39106.00|391.06)
2026-07-15,109226.00,(44046.00|1.00),(9810.00|98.10),(15924.00|79.62),(39446.00|394.46)
2026-07-14,108022.00,(44046.00|1.00),(9158.00|91.58),(15200.00|76.00),(39618.00|396.18)
2026-07-13,108180.00,(44046.00|1.00),(9578.00|95.78),(15080.00|75.40),(39476.00|394.76)
2026-07-10,108984.00,(44046.00|1.00),(9050.00|90.50),(15112.00|75.56),(40776.00|407.76)
